URL Structures,,,,,,,
,,,,,,,
Page Name,Level,Page Type,Unit,New or Existing?,Current URL Structure,Recommended URL Structure,Redirect Type
Cell Panel Screening Services,L6,Services,CCCT,New,,https://www.thermofisher.com/us/en/home/bioprocessing/services/gibco-design/media-feed-screenings/cell-panel-screening.html,
Media Manufacturing Services,L4,Services,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/media-manufacturing-services.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/media-manufacturing.html,301
cGMP Media Manufacturing Services,L5,Services,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/media-manufacturing-services/cgmp-media-manufacturing.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/media-manufacturing/cgmp-media.html,301
Custom Media QC Tests,L5,Services,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/media-manufacturing-services/media-qc-tests.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/media-manufacturing/custom-qc-tests.html,301
Gibco Rapid Prototyping Services,L5,Services,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/media-manufacturing-services/rapid-prototyping-services.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/media-manufacturing/gibco-rapid-prototyping.html,301
Media Customization Services,L5,Services,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/media-manufacturing-services/media-customization-services.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/media-manufacturing/custom-cell-culture-media.html,301
Our Facilities Tours,L4,Why Choose Us?,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/facility-tours.html,https://www.thermofisher.com/us/en/home/bioprocessing/about/facility-tours.html,301
"Gibco Tour - Baltimore, MD",L5,Why Choose Us?,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/facility-tours/gibco-tour-baltimore.html,https://www.thermofisher.com/us/en/home/bioprocessing/about/facility-tours/baltimore.html,301
"Gibco Tour - Grand Island, NY",L5,Why Choose Us?,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/facility-tours/gibco-tour-grand-island.html,https://www.thermofisher.com/us/en/home/bioprocessing/about/facility-tours/grand-island.html,301
"Gibco Tour - Miami, FL",L5,Why Choose Us?,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/facility-tours/gibco-tour-miami.html,https://www.thermofisher.com/us/en/home/bioprocessing/about/facility-tours/miami.html,301
"Gibco Tour - Paisley, Scotland",L5,Why Choose Us?,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/facility-tours/gibco-tour-paisley.html,https://www.thermofisher.com/us/en/home/bioprocessing/about/facility-tours/paisley.html,301
Bioprocessing,L2,Other,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction.html,https://www.thermofisher.com/us/en/home/bioprocessing.html,301
Bioprocessing Applications,L3,Application,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/applications.html,
Bioprocessing Products,L3,Product,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products.html,
Bioprocessing Services,L3,Services,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/services.html,
Resources,L3,Resources,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/bioproduction-learning-center.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources.html,301
Why Choose Us?,L3,Why Choose Us?,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/about.html,
Antibody and Cell Culture Bioprocessing,L4,Resources,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/bioproduction-learning-center/antibody-cell-culture-information.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/antibody-cell-culture.html,301
Bioprocessing Events,L4,Resources,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/events.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/events.html,301
Bioprocessing Tools and Configurators,L4,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/tools-configurators.html,
Bioprocessing Downstream Calculator,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/downstream-bioprocessing/calculator.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/tools-configurators/downstream-bioprocessing-calculator.html,301
Bioproduction Resource Library,L4,Resources,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/bioproduction-learning-center/bioproduction-resource-library.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/bioproduction-resource-library.html,301
Cell Culture Learning Center,L4,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/cell-culture.html,
{Cell Culture Resource Article},L5,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/{resource}-{article}-{title}.html,
Cell Culture Thought Leadership,L5,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/cell-culture/thought-leadership.html,
Cell Therapy Learning Center,L4,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/cell-therapy.html,
Cell Therapy Thought Leadership,L5,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/cell-therapy/thought-leadership.html,
Gene Therapy Thought Leadership,L5,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/gene-therapy/thought-leadership.html ,
Cellular and Stem Cell Bioprocessing,L4,Resources,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/bioproduction-learning-center/cellular-stem-cell-information.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/cellular-stem-cell.html,301
Gene Therapy Learning Center,L4,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/gene-therapy.html,
mABs Learning Center,L4,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/monoclonal-antibodies.html,
Media Manufacturing Content Library,L4,Resources,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/bioproduction-learning-center/media-manufacturing.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/media-manufacturing.html,301
Manufacturing Cell Therapy Challenges,L5,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/manufacturing-cell-therapy-challenges.html ,
mRNA Learning Center,L4,Resources,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/resources/mrna.html,
Viral Vaccine Bioprocessing Information,L4,Resources,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/bioproduction-learning-center/vaccine-information.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/viral-vaccine.html,301
Assurance of Supply,L4,Why Choose Us?,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/assurance-supply.html,https://www.thermofisher.com/us/en/home/bioprocessing/about/assurance-supply.html,301
Bioprocessing Design Center,L4,Why Choose Us?,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/about/bioprocessing-design-center.html,
{Individual BDC Page},L5,Why Choose Us?,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/about/bioprocessing-design-center/{page}-{title}.html,
Global Supply Network,L4,Why Choose Us?,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/about/global-supply-network.html,
Manufacturing Site Equivalency,L5,Why Choose Us?,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/facility-tours/manufacturing-site-equivalency.html,https://www.thermofisher.com/us/en/home/bioprocessing/about/global-supply-network/manufacturing-site-equivalency.html,301
Risk Mitigation and Compliance,L4,Why Choose Us?,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/regulatory-support.html,https://www.thermofisher.com/us/en/home/bioprocessing/about/risk-mitigation-compliance.html,301
Chromatography and Purification Products,L4,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification.html,301
Bioprocess Resins,L5,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/bioprocess-resins.html,301
CaptureSelect and POROS Chromatography,L5,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/captureselect-poros-chromatography-products-services.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/captureselect-poros.html,301
Chromatography Columns,L5,Product,PUR,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/chromatography-columns.html,
Chromatography Membranes,L5,Product,PUR,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/membrane-chromatography.html,
Chromatography Techniques & Formats,L5,Product,PUR,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/chromatography-techniques.html,
Microplates,L5,Product,PUR,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/microplates.html,
Affinity Chromatography Resins,L6,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins/antibody-derived-therapeutics.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/bioprocess-resins/affinity-resins.html,301
Anion Exchange Resins,L6,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins/ion-exchange-resins/anion-exchange-resins.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/bioprocess-resins/anion-exchange-resins.html,301
Cation Exchange Resins,L6,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins/ion-exchange-resins/cation-exchange-resins.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/bioprocess-resins/cation-exchange-resins.html,301
Exosome Purification,L6,Product,PUR,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/bioprocess-resins/exosome-purification.html,
Ion Exchange Chromatography Resins,L6,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins/ion-exchange-resins.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/bioprocess-resins/ion-exchange-resins.html,301
Mixed-Mode Chromatography Resins,L6,Product,PUR,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/bioprocess-resins/mixed-mode-resins.html,
Protein A Chromatography Resins,L6,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins/protein-a-chromatography-resins.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/bioprocess-resins/protein-a-resins.html,301
Plasma Fractionation,L6,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins/plasma-purification.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/bioprocess-resins/plasma-fractionation.html,301
Affinity Tag Purification,L6,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/research-scale-purification/affinity-tag-purification.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/chromatography-techniques/affinity-tag-purification.html,301
Continuous Chromatography,L6,Product,PUR,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/chromatography-techniques/continuous-chromatography.html,
Hydrophobic Interaction Chromatography,L6,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins/hydrophobic-interaction-chromatography.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/chromatography-techniques/hydrophobic-interaction-chromatography.html,301
Mixed-Mode Chromatography,L6,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins/mixed-mode-chromatography.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/chromatography-techniques/mixed-mode-chromatography.html,301
Multi-Column Chromatography,L6,Product,PUR,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/chromatography-techniques/multi-column-chromatography.html,
96-Well Screening Plates,L5,Product,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/96-well-screening-plates.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/chromatography-purification/96-well-screening-plates.html,301
Custom Chromatography Services,L4,Services,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/custom-chromatography-services.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/custom-chromatography.html,301
Custom Affinity Ligand and Resin Development,L5,Services,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/custom-chromatography-services/custom-ligand-development.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/custom-chromatography/ligand-resin-development.html,301
Custom POROS Resins,L5,Services,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/custom-chromatography-services/custom-poros-resins.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/custom-chromatography/poros-resins.html,301
Bioprocess Resin Selection Tool,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/bioprocess-resins/selection-guide.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/tools-configurators/bioprocess-resin-selection-guide.html,301
Chromatography Learning Center,L4,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography.html,301
Resources for Antibody Therapeutic Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/antibody-therapeutics.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/antibody-therapeutics.html,301
Resources for Antibody Therapeutic Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/antibody-therapeutics/resources.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/antibody-therapeutics-resources.html,301
Resources for Nucleic Acid Therapeutic Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/nucleic-acids.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/nucleic-acids.html,301
Resources for Nucleic Acid Therapeutic Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/nucleic-acids/resources.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/nucleic-acids-resources.html,301
Resources for Protein Therapeutics Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/protein-therapeutics.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/protein-therapeutics.html,301
Resources for Protein Therapeutics Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/protein-therapeutics/resources.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/protein-therapeutics-resources.html,301
Resources on Resin Technology,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/resin-technology.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/resin-technology.html,301
Resources on Resin Technology,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/resin-technology/resources.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/resin-technology-resources.html,301
Resources for Vaccine Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/vaccines.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/vaccines.html,301
Resources for Vaccine Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/vaccines/resources.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/vaccines-resources.html,301
Resources for Viral Vector Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/viral-vectors.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/viral-vectors.html,301
Resources for Viral Vector Purification,L5,Resources,PUR,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/poros-chromatography-resin/chromatography-learning-lab/viral-vectors/resources.html,https://www.thermofisher.com/us/en/home/bioprocessing/resources/chromatography-learning-lab/viral-vectors-resources.html,301
Who We Serve,L3,Who We Serve,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/industries.html,
mAb Bioprocessing Solutions,L4,Application,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/mabs-development-manufacturing.html,https://www.thermofisher.com/us/en/home/bioprocessing/applications/mabs.html,301
mRNA Bioprocessing Solutions,L4,Application,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/mrna-bioprocessing-solutions.html,https://www.thermofisher.com/us/en/home/bioprocessing/applications/mrna.html,301
Vaccine Bioprocessing Solutions,L4,Application,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/viral-vaccine-production.html,https://www.thermofisher.com/us/en/home/bioprocessing/applications/vaccines.html,301
AAV Gene Therapy,L5,Application,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/applications/gene-therapy/aav.html,
Gene Therapy Downstream Processing,L5,Application,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/applications/gene-therapy/downstream-processing.html,
Gene Therapy Production,L5,Application,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gene-therapy-production.html,https://www.thermofisher.com/us/en/home/bioprocessing/applications/gene-therapy/production.html,301
Gene Therapy Upstream Processing,L5,Application,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/applications/gene-therapy/upstream-processing.html,
Lentiviral Gene Therapy,L5,Application,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/applications/gene-therapy/lentiviral.html,
mAb Process Scale-Up,L5,Application,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/applications/mabs/scale-up.html,
mAb Downstream Processing,L5,Application,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/applications/mabs/downstream-processing.html,
mAb Upstream Processing,L5,Application,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/applications/mabs/upstream-processing.html,
mAb Process Development,L5,Application,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/mabs-development-manufacturing/process-development.html,https://www.thermofisher.com/us/en/home/bioprocessing/applications/mabs/process-development.html,301
